deadline_success_ratio,execution_time,mean_best_effort,mean_deadline,median_best_effort,median_deadline,no_batches,no_best_effort,no_deadline,no_workers,scheduler,seed,std_best_effort,std_deadline,strictness,total_time
0.0,22.6048958302,0.0,0.851627137341,0.0,1.0,2800.0,2585.0,196.0,100.0,deadline,1.0,0.0,0.354934104926,0.0,1200.0
0.0408163265306,22.6048958302,0.0,0.851627137341,0.0,1.0,2800.0,2585.0,196.0,100.0,deadline,1.0,0.0,0.354934104926,0.2,1200.0
0.122448979592,22.6048958302,0.0,0.851627137341,0.0,1.0,2800.0,2585.0,196.0,100.0,deadline,1.0,0.0,0.354934104926,0.5,1200.0
0.0,18.8792510033,0.769997770554,0.869933232592,1.0,1.0,2800.0,2585.0,196.0,100.0,fair,1.0,0.418269264204,0.272529529948,0.0,1200.0
0.0,18.8792510033,0.769997770554,0.869933232592,1.0,1.0,2800.0,2585.0,196.0,100.0,fair,1.0,0.418269264204,0.272529529948,0.2,1200.0
0.0,18.8792510033,0.769997770554,0.869933232592,1.0,1.0,2800.0,2585.0,196.0,100.0,fair,1.0,0.418269264204,0.272529529948,0.5,1200.0
0.0,20.7663378716,0.0,0.701184210526,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,2.0,0.0,0.456750669209,0.0,1200.0
0.025,20.7663378716,0.0,0.701184210526,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,2.0,0.0,0.456750669209,0.2,1200.0
0.09,20.7663378716,0.0,0.701184210526,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,2.0,0.0,0.456750669209,0.5,1200.0
0.0,17.5821828842,0.619519230769,0.729758395898,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,2.0,0.484502436259,0.385608968619,0.0,1200.0
0.0,17.5821828842,0.619519230769,0.729758395898,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,2.0,0.484502436259,0.385608968619,0.2,1200.0
0.0,17.5821828842,0.619519230769,0.729758395898,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,2.0,0.484502436259,0.385608968619,0.5,1200.0
0.0,22.354539156,0.0,0.637007746352,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,3.0,0.0,0.479611655582,0.0,1200.0
0.015,22.354539156,0.0,0.637007746352,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,3.0,0.0,0.479611655582,0.2,1200.0
0.065,22.354539156,0.0,0.637007746352,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,3.0,0.0,0.479611655582,0.5,1200.0
0.0,18.2608268261,0.736193746098,0.876617023372,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,3.0,0.438221551763,0.257781155801,0.0,1200.0
0.0,18.2608268261,0.736193746098,0.876617023372,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,3.0,0.438221551763,0.257781155801,0.2,1200.0
0.0,18.2608268261,0.736193746098,0.876617023372,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,3.0,0.438221551763,0.257781155801,0.5,1200.0
0.0,18.1895160675,0.0,0.891818181818,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,4.0,0.0,0.308741781434,0.0,1200.0
0.005,18.1895160675,0.0,0.891818181818,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,4.0,0.0,0.308741781434,0.2,1200.0
0.075,18.1895160675,0.0,0.891818181818,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,4.0,0.0,0.308741781434,0.5,1200.0
0.0,16.6209759712,0.542555860806,0.658292841201,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,4.0,0.496581733755,0.424239191181,0.0,1200.0
0.0,16.6209759712,0.542555860806,0.658292841201,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,4.0,0.496581733755,0.424239191181,0.2,1200.0
0.0,16.6209759712,0.542555860806,0.658292841201,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,4.0,0.496581733755,0.424239191181,0.5,1200.0
0.0,19.6377999783,0.0,0.746829268293,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,5.0,0.0,0.433491970535,0.0,1200.0
0.02,19.6377999783,0.0,0.746829268293,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,5.0,0.0,0.433491970535,0.2,1200.0
0.08,19.6377999783,0.0,0.746829268293,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,5.0,0.0,0.433491970535,0.5,1200.0
0.0,15.5140450001,0.610564102564,0.730156671734,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,5.0,0.486412980677,0.379201056514,0.0,1200.0
0.0,15.5140450001,0.610564102564,0.730156671734,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,5.0,0.486412980677,0.379201056514,0.2,1200.0
0.0,15.5140450001,0.610564102564,0.730156671734,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,5.0,0.486412980677,0.379201056514,0.5,1200.0
0.0,18.1987760067,0.0,0.776883116883,0.0,1.0,2800.0,2595.0,200.0,100.0,deadline,6.0,0.0,0.414923906929,0.0,1200.0
0.025,18.1987760067,0.0,0.776883116883,0.0,1.0,2800.0,2595.0,200.0,100.0,deadline,6.0,0.0,0.414923906929,0.2,1200.0
0.05,18.1987760067,0.0,0.776883116883,0.0,1.0,2800.0,2595.0,200.0,100.0,deadline,6.0,0.0,0.414923906929,0.5,1200.0
0.0,16.4858520031,0.600134874759,0.702907873313,1.0,1.0,2800.0,2595.0,200.0,100.0,fair,6.0,0.488126942084,0.421714544768,0.0,1200.0
0.0,16.4858520031,0.600134874759,0.702907873313,1.0,1.0,2800.0,2595.0,200.0,100.0,fair,6.0,0.488126942084,0.421714544768,0.2,1200.0
0.0,16.4858520031,0.600134874759,0.702907873313,1.0,1.0,2800.0,2595.0,200.0,100.0,fair,6.0,0.488126942084,0.421714544768,0.5,1200.0
0.0,21.4306368828,0.240769230769,1.0,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,7.0,0.427550474545,0.0,0.0,1200.0
0.115,21.4306368828,0.240769230769,1.0,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,7.0,0.427550474545,0.0,0.2,1200.0
0.33,21.4306368828,0.240769230769,1.0,0.0,1.0,2800.0,2600.0,200.0,100.0,deadline,7.0,0.427550474545,0.0,0.5,1200.0
0.0,18.8912980556,0.642653846154,0.796798990313,1.0,1.0,2800.0,2600.0,200.0,100.0,fair,7.0,0.477692199478,0.340988929356,0.0,1200.0
