deadline_success_ratio,execution_time,mean_best_effort,mean_deadline,median_best_effort,median_deadline,no_batches,no_best_effort,no_deadline,no_workers,scheduler,seed,std_best_effort,std_deadline,strictness,total_time
0.0,104.893437862,0.0,0.811872180451,0.0,1.0,4800.0,4400.0,400.0,100.0,deadline,1.0,0.0,0.390212232594,0.0,2400.0
0.0175,104.893437862,0.0,0.811872180451,0.0,1.0,4800.0,4400.0,400.0,100.0,deadline,1.0,0.0,0.390212232594,0.2,2400.0
0.045,104.893437862,0.0,0.811872180451,0.0,1.0,4800.0,4400.0,400.0,100.0,deadline,1.0,0.0,0.390212232594,0.5,2400.0
0.0,81.3080480099,0.742113636364,0.807548938876,1.0,1.0,4800.0,4400.0,400.0,100.0,fair,1.0,0.436812145805,0.35484436168,0.0,2400.0
0.0,81.3080480099,0.742113636364,0.807548938876,1.0,1.0,4800.0,4400.0,400.0,100.0,fair,1.0,0.436812145805,0.35484436168,0.2,2400.0
0.0,81.3080480099,0.742113636364,0.807548938876,1.0,1.0,4800.0,4400.0,400.0,100.0,fair,1.0,0.436812145805,0.35484436168,0.5,2400.0
0.0,75.160326004,0.0,0.506914318796,0.0,1.0,4800.0,4400.0,400.0,100.0,deadline,2.0,0.0,0.499503473442,0.0,2400.0
0.0075,75.160326004,0.0,0.506914318796,0.0,1.0,4800.0,4400.0,400.0,100.0,deadline,2.0,0.0,0.499503473442,0.2,2400.0
0.0225,75.160326004,0.0,0.506914318796,0.0,1.0,4800.0,4400.0,400.0,100.0,deadline,2.0,0.0,0.499503473442,0.5,2400.0
0.0,66.1965479851,0.567136363636,0.599068227218,1.0,1.0,4800.0,4400.0,400.0,100.0,fair,2.0,0.494379042811,0.468979591353,0.0,2400.0
0.0,66.1965479851,0.567136363636,0.599068227218,1.0,1.0,4800.0,4400.0,400.0,100.0,fair,2.0,0.494379042811,0.468979591353,0.2,2400.0
0.0,66.1965479851,0.567136363636,0.599068227218,1.0,1.0,4800.0,4400.0,400.0,100.0,fair,2.0,0.494379042811,0.468979591353,0.5,2400.0
0.0,88.3494150639,0.0,0.940641025641,0.0,1.0,4800.0,4400.0,400.0,100.0,deadline,3.0,0.0,0.235284564793,0.0,2400.0
0.0225,88.3494150639,0.0,0.940641025641,0.0,1.0,4800.0,4400.0,400.0,100.0,deadline,3.0,0.0,0.235284564793,0.2,2400.0
0.0625,88.3494150639,0.0,0.940641025641,0.0,1.0,4800.0,4400.0,400.0,100.0,deadline,3.0,0.0,0.235284564793,0.5,2400.0
