deadline_success_ratio,execution_time,mean_best_effort,mean_deadline,median_best_effort,median_deadline,no_batches,no_best_effort,no_deadline,no_workers,scheduler,seed,std_best_effort,std_deadline,strictness,total_time
0.003125,176.782081127,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,1.0,0.0,0.0,0.0,2400.0
0.328125,176.782081127,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,1.0,0.0,0.0,0.2,2400.0
0.471875,176.782081127,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,1.0,0.0,0.0,0.4,2400.0
0.553125,176.782081127,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,1.0,0.0,0.0,0.6,2400.0
0.60625,176.782081127,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,1.0,0.0,0.0,0.8,2400.0
0.6375,176.782081127,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,1.0,0.0,0.0,1.0,2400.0
0.0,155.34783411,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,1.0,0.0,0.0,0.0,2400.0
0.046875,155.34783411,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,1.0,0.0,0.0,0.2,2400.0
0.084375,155.34783411,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,1.0,0.0,0.0,0.4,2400.0
0.15625,155.34783411,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,1.0,0.0,0.0,0.6,2400.0
0.278125,155.34783411,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,1.0,0.0,0.0,0.8,2400.0
0.425,155.34783411,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,1.0,0.0,0.0,1.0,2400.0
0.0,168.650748968,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,1.0,0.0,0.0,0.0,2400.0
0.0875,168.650748968,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,1.0,0.0,0.0,0.2,2400.0
0.253125,168.650748968,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,1.0,0.0,0.0,0.4,2400.0
0.371875,168.650748968,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,1.0,0.0,0.0,0.6,2400.0
0.4625,168.650748968,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,1.0,0.0,0.0,0.8,2400.0
0.53125,168.650748968,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,1.0,0.0,0.0,1.0,2400.0
0.0,144.904437065,0.867525773196,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,2.0,0.339005613577,0.0,0.0,2400.0
0.2,144.904437065,0.867525773196,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,2.0,0.339005613577,0.0,0.2,2400.0
0.353125,144.904437065,0.867525773196,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,2.0,0.339005613577,0.0,0.4,2400.0
0.45,144.904437065,0.867525773196,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,2.0,0.339005613577,0.0,0.6,2400.0
0.509375,144.904437065,0.867525773196,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,2.0,0.339005613577,0.0,0.8,2400.0
0.56875,144.904437065,0.867525773196,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,2.0,0.339005613577,0.0,1.0,2400.0
0.0,102.996477127,0.9995408994,0.965763611315,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,2.0,0.0115417781164,0.131779612689,0.0,2400.0
0.00625,102.996477127,0.9995408994,0.965763611315,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,2.0,0.0115417781164,0.131779612689,0.2,2400.0
0.01875,102.996477127,0.9995408994,0.965763611315,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,2.0,0.0115417781164,0.131779612689,0.4,2400.0
0.05,102.996477127,0.9995408994,0.965763611315,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,2.0,0.0115417781164,0.131779612689,0.6,2400.0
0.14375,102.996477127,0.9995408994,0.965763611315,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,2.0,0.0115417781164,0.131779612689,0.8,2400.0
0.309375,102.996477127,0.9995408994,0.965763611315,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,2.0,0.0115417781164,0.131779612689,1.0,2400.0
0.0,112.681715012,0.998025418528,0.995314117044,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,2.0,0.0330713042593,0.0267938723879,0.0,2400.0
0.021875,112.681715012,0.998025418528,0.995314117044,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,2.0,0.0330713042593,0.0267938723879,0.2,2400.0
0.103125,112.681715012,0.998025418528,0.995314117044,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,2.0,0.0330713042593,0.0267938723879,0.4,2400.0
0.165625,112.681715012,0.998025418528,0.995314117044,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,2.0,0.0330713042593,0.0267938723879,0.6,2400.0
0.234375,112.681715012,0.998025418528,0.995314117044,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,2.0,0.0330713042593,0.0267938723879,0.8,2400.0
0.33125,112.681715012,0.998025418528,0.995314117044,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,2.0,0.0330713042593,0.0267938723879,1.0,2400.0
0.003125,116.609375,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,3.0,0.0,0.0,0.0,2400.0
0.371875,116.609375,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,3.0,0.0,0.0,0.2,2400.0
0.6125,116.609375,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,3.0,0.0,0.0,0.4,2400.0
0.678125,116.609375,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,3.0,0.0,0.0,0.6,2400.0
0.73125,116.609375,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,3.0,0.0,0.0,0.8,2400.0
0.740625,116.609375,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,3.0,0.0,0.0,1.0,2400.0
0.0,97.3069329262,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,3.0,0.0,0.0,0.0,2400.0
0.03125,97.3069329262,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,3.0,0.0,0.0,0.2,2400.0
0.0625,97.3069329262,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,3.0,0.0,0.0,0.4,2400.0
0.15625,97.3069329262,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,3.0,0.0,0.0,0.6,2400.0
0.25625,97.3069329262,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,3.0,0.0,0.0,0.8,2400.0
0.434375,97.3069329262,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,3.0,0.0,0.0,1.0,2400.0
0.0,105.324486017,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,3.0,0.0,0.0,0.0,2400.0
0.075,105.324486017,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,3.0,0.0,0.0,0.2,2400.0
0.28125,105.324486017,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,3.0,0.0,0.0,0.4,2400.0
0.434375,105.324486017,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,3.0,0.0,0.0,0.6,2400.0
0.5375,105.324486017,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,3.0,0.0,0.0,0.8,2400.0
0.615625,105.324486017,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,saware,3.0,0.0,0.0,1.0,2400.0
0.0,164.593785048,0.264565425024,0.997581024631,0.0,1.0,4200.0,3839.0,317.0,200.0,deadline,4.0,0.441035911759,0.0430006467435,0.0,2400.0
0.192429022082,164.593785048,0.264565425024,0.997581024631,0.0,1.0,4200.0,3839.0,317.0,200.0,deadline,4.0,0.441035911759,0.0430006467435,0.2,2400.0
0.334384858044,164.593785048,0.264565425024,0.997581024631,0.0,1.0,4200.0,3839.0,317.0,200.0,deadline,4.0,0.441035911759,0.0430006467435,0.4,2400.0
0.422712933754,164.593785048,0.264565425024,0.997581024631,0.0,1.0,4200.0,3839.0,317.0,200.0,deadline,4.0,0.441035911759,0.0430006467435,0.6,2400.0
0.476340694006,164.593785048,0.264565425024,0.997581024631,0.0,1.0,4200.0,3839.0,317.0,200.0,deadline,4.0,0.441035911759,0.0430006467435,0.8,2400.0
0.517350157729,164.593785048,0.264565425024,0.997581024631,0.0,1.0,4200.0,3839.0,317.0,200.0,deadline,4.0,0.441035911759,0.0430006467435,1.0,2400.0
0.0,102.561870098,0.998902237714,0.934947889321,1.0,1.0,4200.0,3839.0,317.0,200.0,fair,4.0,0.0225922221732,0.185796474872,0.0,2400.0
0.0,102.561870098,0.998902237714,0.934947889321,1.0,1.0,4200.0,3839.0,317.0,200.0,fair,4.0,0.0225922221732,0.185796474872,0.2,2400.0
0.01261829653,102.561870098,0.998902237714,0.934947889321,1.0,1.0,4200.0,3839.0,317.0,200.0,fair,4.0,0.0225922221732,0.185796474872,0.4,2400.0
0.0725552050473,102.561870098,0.998902237714,0.934947889321,1.0,1.0,4200.0,3839.0,317.0,200.0,fair,4.0,0.0225922221732,0.185796474872,0.6,2400.0
0.157728706625,102.561870098,0.998902237714,0.934947889321,1.0,1.0,4200.0,3839.0,317.0,200.0,fair,4.0,0.0225922221732,0.185796474872,0.8,2400.0
0.296529968454,102.561870098,0.998902237714,0.934947889321,1.0,1.0,4200.0,3839.0,317.0,200.0,fair,4.0,0.0225922221732,0.185796474872,1.0,2400.0
0.0,121.900102139,0.944816505959,0.912955677382,1.0,1.0,4200.0,3839.0,317.0,200.0,saware,4.0,0.224841692499,0.25269350582,0.0,2400.0
0.0220820189274,121.900102139,0.944816505959,0.912955677382,1.0,1.0,4200.0,3839.0,317.0,200.0,saware,4.0,0.224841692499,0.25269350582,0.2,2400.0
0.0757097791798,121.900102139,0.944816505959,0.912955677382,1.0,1.0,4200.0,3839.0,317.0,200.0,saware,4.0,0.224841692499,0.25269350582,0.4,2400.0
0.129337539432,121.900102139,0.944816505959,0.912955677382,1.0,1.0,4200.0,3839.0,317.0,200.0,saware,4.0,0.224841692499,0.25269350582,0.6,2400.0
0.170347003155,121.900102139,0.944816505959,0.912955677382,1.0,1.0,4200.0,3839.0,317.0,200.0,saware,4.0,0.224841692499,0.25269350582,0.8,2400.0
0.264984227129,121.900102139,0.944816505959,0.912955677382,1.0,1.0,4200.0,3839.0,317.0,200.0,saware,4.0,0.224841692499,0.25269350582,1.0,2400.0
0.003125,166.412741899,0.00103092783505,0.997648593561,0.0,1.0,4200.0,3880.0,320.0,200.0,deadline,5.0,0.0320915101366,0.041997461887,0.0,2400.0
0.4125,166.412741899,0.00103092783505,0.997648593561,0.0,1.0,4200.0,3880.0,320.0,200.0,deadline,5.0,0.0320915101366,0.041997461887,0.2,2400.0
0.6125,166.412741899,0.00103092783505,0.997648593561,0.0,1.0,4200.0,3880.0,320.0,200.0,deadline,5.0,0.0320915101366,0.041997461887,0.4,2400.0
0.721875,166.412741899,0.00103092783505,0.997648593561,0.0,1.0,4200.0,3880.0,320.0,200.0,deadline,5.0,0.0320915101366,0.041997461887,0.6,2400.0
0.78125,166.412741899,0.00103092783505,0.997648593561,0.0,1.0,4200.0,3880.0,320.0,200.0,deadline,5.0,0.0320915101366,0.041997461887,0.8,2400.0
0.809375,166.412741899,0.00103092783505,0.997648593561,0.0,1.0,4200.0,3880.0,320.0,200.0,deadline,5.0,0.0320915101366,0.041997461887,1.0,2400.0
0.0,100.172934055,0.998304725601,0.928253353225,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,5.0,0.0368294984378,0.199941225922,0.0,2400.0
0.0,100.172934055,0.998304725601,0.928253353225,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,5.0,0.0368294984378,0.199941225922,0.2,2400.0
0.00625,100.172934055,0.998304725601,0.928253353225,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,5.0,0.0368294984378,0.199941225922,0.4,2400.0
0.0375,100.172934055,0.998304725601,0.928253353225,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,5.0,0.0368294984378,0.199941225922,0.6,2400.0
0.146875,100.172934055,0.998304725601,0.928253353225,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,5.0,0.0368294984378,0.199941225922,0.8,2400.0
0.321875,100.172934055,0.998304725601,0.928253353225,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,5.0,0.0368294984378,0.199941225922,1.0,2400.0
0.0,159.264214993,0.298801546392,0.362172793962,0.0,0.0,4200.0,3880.0,320.0,200.0,saware,5.0,0.456512702139,0.46162843983,0.0,2400.0
0.0,159.264214993,0.298801546392,0.362172793962,0.0,0.0,4200.0,3880.0,320.0,200.0,saware,5.0,0.456512702139,0.46162843983,0.2,2400.0
0.0,159.264214993,0.298801546392,0.362172793962,0.0,0.0,4200.0,3880.0,320.0,200.0,saware,5.0,0.456512702139,0.46162843983,0.4,2400.0
0.0,159.264214993,0.298801546392,0.362172793962,0.0,0.0,4200.0,3880.0,320.0,200.0,saware,5.0,0.456512702139,0.46162843983,0.6,2400.0
0.0,159.264214993,0.298801546392,0.362172793962,0.0,0.0,4200.0,3880.0,320.0,200.0,saware,5.0,0.456512702139,0.46162843983,0.8,2400.0
0.003125,159.264214993,0.298801546392,0.362172793962,0.0,0.0,4200.0,3880.0,320.0,200.0,saware,5.0,0.456512702139,0.46162843983,1.0,2400.0
0.015873015873,690.83701992,1.0,1.0,1.0,1.0,4200.0,3846.0,315.0,200.0,deadline,6.0,0.0,0.0,0.0,2400.0
0.377777777778,690.83701992,1.0,1.0,1.0,1.0,4200.0,3846.0,315.0,200.0,deadline,6.0,0.0,0.0,0.2,2400.0
0.565079365079,690.83701992,1.0,1.0,1.0,1.0,4200.0,3846.0,315.0,200.0,deadline,6.0,0.0,0.0,0.4,2400.0
0.622222222222,690.83701992,1.0,1.0,1.0,1.0,4200.0,3846.0,315.0,200.0,deadline,6.0,0.0,0.0,0.6,2400.0
0.67619047619,690.83701992,1.0,1.0,1.0,1.0,4200.0,3846.0,315.0,200.0,deadline,6.0,0.0,0.0,0.8,2400.0
