deadline_success_ratio,execution_time,mean_best_effort,mean_deadline,median_best_effort,median_deadline,no_batches,no_best_effort,no_deadline,no_workers,scheduler,seed,std_best_effort,std_deadline,strictness,total_time
0.015625,1494.86973786,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,1.0,0.0,0.0,0.0,2400.0
0.45,1494.86973786,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,1.0,0.0,0.0,0.2,2400.0
0.628125,1494.86973786,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,1.0,0.0,0.0,0.4,2400.0
0.73125,1494.86973786,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,1.0,0.0,0.0,0.6,2400.0
0.778125,1494.86973786,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,1.0,0.0,0.0,0.8,2400.0
0.853125,1494.86973786,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,1.0,0.0,0.0,1.0,2400.0
0.015625,1536.04831004,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,1.0,0.0,0.0,0.0,2400.0
0.2625,1536.04831004,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,1.0,0.0,0.0,0.2,2400.0
0.371875,1536.04831004,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,1.0,0.0,0.0,0.4,2400.0
0.45625,1536.04831004,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,1.0,0.0,0.0,0.6,2400.0
0.534375,1536.04831004,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,1.0,0.0,0.0,0.8,2400.0
0.628125,1536.04831004,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,1.0,0.0,0.0,1.0,2400.0
0.015625,1876.70145893,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,1.0,0.0,0.0,0.0,2400.0
0.3,1876.70145893,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,1.0,0.0,0.0,0.2,2400.0
0.4875,1876.70145893,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,1.0,0.0,0.0,0.4,2400.0
0.56875,1876.70145893,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,1.0,0.0,0.0,0.6,2400.0
0.6625,1876.70145893,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,1.0,0.0,0.0,0.8,2400.0
0.725,1876.70145893,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,1.0,0.0,0.0,1.0,2400.0
0.009375,633.415827036,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,2.0,0.0,0.0,0.0,2400.0
0.375,633.415827036,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,2.0,0.0,0.0,0.2,2400.0
0.54375,633.415827036,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,2.0,0.0,0.0,0.4,2400.0
0.6375,633.415827036,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,2.0,0.0,0.0,0.6,2400.0
0.684375,633.415827036,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,2.0,0.0,0.0,0.8,2400.0
0.715625,633.415827036,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,2.0,0.0,0.0,1.0,2400.0
