deadline_success_ratio,execution_time,log,mean_best_effort,mean_deadline,median_best_effort,median_deadline,no_batches,no_best_effort,no_deadline,no_workers,scheduler,seed,std_best_effort,std_deadline,strictness,total_time
0.0,61.8423919678,True,0.998672801496,0.933463817397,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,1.0,0.0199877541112,0.174639848847,0.0,1200.0
0.0,61.8423919678,True,0.998672801496,0.933463817397,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,1.0,0.0199877541112,0.174639848847,0.2,1200.0
0.0,61.8423919678,True,0.998672801496,0.933463817397,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,1.0,0.0199877541112,0.174639848847,0.4,1200.0
0.04375,61.8423919678,True,0.998672801496,0.933463817397,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,1.0,0.0199877541112,0.174639848847,0.6,1200.0
0.15,61.8423919678,True,0.998672801496,0.933463817397,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,1.0,0.0199877541112,0.174639848847,0.8,1200.0
0.34375,61.8423919678,True,0.998672801496,0.933463817397,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,1.0,0.0199877541112,0.174639848847,1.0,1200.0
0.0,67.6237370968,True,0.998314149046,0.926782173352,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,2.0,0.0244198114096,0.186728026896,0.0,1200.0
0.0,67.6237370968,True,0.998314149046,0.926782173352,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,2.0,0.0244198114096,0.186728026896,0.2,1200.0
0.0,67.6237370968,True,0.998314149046,0.926782173352,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,2.0,0.0244198114096,0.186728026896,0.4,1200.0
0.0375,67.6237370968,True,0.998314149046,0.926782173352,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,2.0,0.0244198114096,0.186728026896,0.6,1200.0
0.1625,67.6237370968,True,0.998314149046,0.926782173352,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,2.0,0.0244198114096,0.186728026896,0.8,1200.0
0.3125,67.6237370968,True,0.998314149046,0.926782173352,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,2.0,0.0244198114096,0.186728026896,1.0,1200.0
0.00625,68.4053180218,True,0.986728040795,0.997793280182,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,1.0,0.0905980862959,0.0278256781464,0.0,1200.0
0.15,68.4053180218,True,0.986728040795,0.997793280182,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,1.0,0.0905980862959,0.0278256781464,0.2,1200.0
0.29375,68.4053180218,True,0.986728040795,0.997793280182,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,1.0,0.0905980862959,0.0278256781464,0.4,1200.0
0.3875,68.4053180218,True,0.986728040795,0.997793280182,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,1.0,0.0905980862959,0.0278256781464,0.6,1200.0
0.43125,68.4053180218,True,0.986728040795,0.997793280182,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,1.0,0.0905980862959,0.0278256781464,0.8,1200.0
0.4875,68.4053180218,True,0.986728040795,0.997793280182,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,1.0,0.0905980862959,0.0278256781464,1.0,1200.0
0.0,72.2018480301,True,0.994972550719,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,2.0,0.0492594606617,0.0,0.0,1200.0
0.20625,72.2018480301,True,0.994972550719,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,2.0,0.0492594606617,0.0,0.2,1200.0
0.38125,72.2018480301,True,0.994972550719,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,2.0,0.0492594606617,0.0,0.4,1200.0
0.41875,72.2018480301,True,0.994972550719,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,2.0,0.0492594606617,0.0,0.6,1200.0
0.50625,72.2018480301,True,0.994972550719,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,2.0,0.0492594606617,0.0,0.8,1200.0
0.5625,72.2018480301,True,0.994972550719,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,2.0,0.0492594606617,0.0,1.0,1200.0
0.00625,74.7855370045,True,0.831639344262,0.997622437358,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,1.0,0.374098612089,0.0299799241964,0.0,1200.0
0.31875,74.7855370045,True,0.831639344262,0.997622437358,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,1.0,0.374098612089,0.0299799241964,0.2,1200.0
0.475,74.7855370045,True,0.831639344262,0.997622437358,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,1.0,0.374098612089,0.0299799241964,0.4,1200.0
0.575,74.7855370045,True,0.831639344262,0.997622437358,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,1.0,0.374098612089,0.0299799241964,0.6,1200.0
0.61875,74.7855370045,True,0.831639344262,0.997622437358,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,1.0,0.374098612089,0.0299799241964,0.8,1200.0
0.6625,74.7855370045,True,0.831639344262,0.997622437358,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,1.0,0.374098612089,0.0299799241964,1.0,1200.0
0.0,78.6174840927,True,0.908622058703,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,2.0,0.288119937051,0.0,0.0,1200.0
0.43125,78.6174840927,True,0.908622058703,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,2.0,0.288119937051,0.0,0.2,1200.0
0.63125,78.6174840927,True,0.908622058703,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,2.0,0.288119937051,0.0,0.4,1200.0
0.71875,78.6174840927,True,0.908622058703,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,2.0,0.288119937051,0.0,0.6,1200.0
0.80625,78.6174840927,True,0.908622058703,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,2.0,0.288119937051,0.0,0.8,1200.0
0.88125,78.6174840927,True,0.908622058703,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,2.0,0.288119937051,0.0,1.0,1200.0
0.0,730.281769991,True,0.991350456638,0.994262528474,1.0,1.0,2600.0,2440.0,160.0,200.0,aware,1.0,0.0677778184246,0.0723467631806,0.0,1200.0
0.15625,730.281769991,True,0.991350456638,0.994262528474,1.0,1.0,2600.0,2440.0,160.0,200.0,aware,1.0,0.0677778184246,0.0723467631806,0.2,1200.0
0.325,730.281769991,True,0.991350456638,0.994262528474,1.0,1.0,2600.0,2440.0,160.0,200.0,aware,1.0,0.0677778184246,0.0723467631806,0.4,1200.0
0.3875,730.281769991,True,0.991350456638,0.994262528474,1.0,1.0,2600.0,2440.0,160.0,200.0,aware,1.0,0.0677778184246,0.0723467631806,0.6,1200.0
0.46875,730.281769991,True,0.991350456638,0.994262528474,1.0,1.0,2600.0,2440.0,160.0,200.0,aware,1.0,0.0677778184246,0.0723467631806,0.8,1200.0
0.55,730.281769991,True,0.991350456638,0.994262528474,1.0,1.0,2600.0,2440.0,160.0,200.0,aware,1.0,0.0677778184246,0.0723467631806,1.0,1200.0
0.0,982.820239782,True,0.995048014653,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,aware,2.0,0.0534960274007,0.0,0.0,1200.0
0.2125,982.820239782,True,0.995048014653,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,aware,2.0,0.0534960274007,0.0,0.2,1200.0
0.4,982.820239782,True,0.995048014653,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,aware,2.0,0.0534960274007,0.0,0.4,1200.0
0.54375,982.820239782,True,0.995048014653,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,aware,2.0,0.0534960274007,0.0,0.6,1200.0
0.6625,982.820239782,True,0.995048014653,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,aware,2.0,0.0534960274007,0.0,0.8,1200.0
0.7125,982.820239782,True,0.995048014653,1.0,1.0,1.0,2600.0,2440.0,160.0,200.0,aware,2.0,0.0534960274007,0.0,1.0,1200.0
0.0,58.9609150887,True,0.995909248322,0.888450288757,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,4.0,0.0495430032409,0.24329595995,0.0,1200.0
0.0,58.9609150887,True,0.995909248322,0.888450288757,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,4.0,0.0495430032409,0.24329595995,0.2,1200.0
0.01875,58.9609150887,True,0.995909248322,0.888450288757,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,4.0,0.0495430032409,0.24329595995,0.4,1200.0
0.05,58.9609150887,True,0.995909248322,0.888450288757,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,4.0,0.0495430032409,0.24329595995,0.6,1200.0
0.14375,58.9609150887,True,0.995909248322,0.888450288757,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,4.0,0.0495430032409,0.24329595995,0.8,1200.0
0.30625,58.9609150887,True,0.995909248322,0.888450288757,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,4.0,0.0495430032409,0.24329595995,1.0,1200.0
0.0,65.9841330051,True,0.997260396209,0.920225646835,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,3.0,0.0346540526851,0.212895435206,0.0,1200.0
0.0,65.9841330051,True,0.997260396209,0.920225646835,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,3.0,0.0346540526851,0.212895435206,0.2,1200.0
0.025,65.9841330051,True,0.997260396209,0.920225646835,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,3.0,0.0346540526851,0.212895435206,0.4,1200.0
0.05625,65.9841330051,True,0.997260396209,0.920225646835,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,3.0,0.0346540526851,0.212895435206,0.6,1200.0
0.1625,65.9841330051,True,0.997260396209,0.920225646835,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,3.0,0.0346540526851,0.212895435206,0.8,1200.0
0.35,65.9841330051,True,0.997260396209,0.920225646835,1.0,1.0,2600.0,2440.0,160.0,200.0,fair,3.0,0.0346540526851,0.212895435206,1.0,1200.0
0.0,66.2047009468,True,0.961154951328,0.95763119296,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,4.0,0.182600500181,0.198740356519,0.0,1200.0
0.16875,66.2047009468,True,0.961154951328,0.95763119296,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,4.0,0.182600500181,0.198740356519,0.2,1200.0
0.35,66.2047009468,True,0.961154951328,0.95763119296,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,4.0,0.182600500181,0.198740356519,0.4,1200.0
0.48125,66.2047009468,True,0.961154951328,0.95763119296,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,4.0,0.182600500181,0.198740356519,0.6,1200.0
0.54375,66.2047009468,True,0.961154951328,0.95763119296,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,4.0,0.182600500181,0.198740356519,0.8,1200.0
0.58125,66.2047009468,True,0.961154951328,0.95763119296,1.0,1.0,2600.0,2440.0,160.0,200.0,saware,4.0,0.182600500181,0.198740356519,1.0,1200.0
0.0,70.678426981,True,0.785203538777,0.994843274663,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,4.0,0.410634822513,0.065023832367,0.0,1200.0
0.48125,70.678426981,True,0.785203538777,0.994843274663,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,4.0,0.410634822513,0.065023832367,0.2,1200.0
0.675,70.678426981,True,0.785203538777,0.994843274663,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,4.0,0.410634822513,0.065023832367,0.4,1200.0
0.7125,70.678426981,True,0.785203538777,0.994843274663,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,4.0,0.410634822513,0.065023832367,0.6,1200.0
0.75625,70.678426981,True,0.785203538777,0.994843274663,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,4.0,0.410634822513,0.065023832367,0.8,1200.0
0.81875,70.678426981,True,0.785203538777,0.994843274663,1.0,1.0,2600.0,2440.0,160.0,200.0,deadline,4.0,0.410634822513,0.065023832367,1.0,1200.0
