Scheme,Priority,Run,Batch,Time,Runtime
FS,1,1,B4,18.407791038043797,10.217526754775827
FS,1,1,B4,18.49812804721296,11.498297117725889
FS,1,1,B3,26.76493499893695,21.189604406030842
FS,1,1,B3,26.8194010714069,20.531258477206144
FS,1,1,B4,26.84444608166814,20.32773690828975
FS,1,1,B4,26.885547093115747,20.806047465515938
FS,1,1,B4,26.911116088740528,21.12222419655835
FS,1,1,B4,37.536852061748505,8.455828295803379
FS,1,1,B4,37.589402054436505,7.576731869309064
FS,1,1,B2,37.636536988429725,33.44479548144622
FS,1,1,B5,37.66281099524349,36.78266576514132
FS,1,1,B5,37.69847902003676,32.28465564889578
FS,1,1,B4,37.73206903133541,13.64770404845546
FS,1,1,B3,38.138823001645505,35.223922719488
FS,1,1,B5,48.89176203869283,41.07301718403398
FS,1,1,B4,48.9716250449419,25.4863977815563
FS,1,1,B3,49.0190900163725,44.06349314609211
FS,1,1,B2,49.04852109029889,40.76746307185277
FS,1,1,B5,55.95962004736066,51.64623795675282
FS,1,1,B3,56.005978025496006,24.3775934464534
FS,1,1,B4,56.038901093415916,16.34790437611967
FS,1,1,B1,56.0737190535292,52.523372035305336
FS,1,1,B3,56.09562806785107,50.701207820613256
FS,1,1,B2,56.119465036317706,49.05780934338145
FS,1,1,B4,56.14279303699732,13.05389802564456
FS,1,1,B2,62.301898025907576,55.871007608751135
FS,1,1,B5,62.35672999173403,51.42651808258795
FS,1,1,B4,62.39328102674335,28.433136070433612
FS,1,1,B3,62.43381800595671,18.66893493097115
FS,1,1,B4,62.47402005828917,21.18132149138263
FS,1,1,B4,62.50015809200704,10.257857337761422
FS,1,1,B4,77.59920507669449,13.387006525373263
FS,1,1,B3,77.63272104784846,42.42910715573438
FS,1,1,B1,77.67268607858568,70.13649612175041
FS,1,1,B4,77.71201303694397,16.91667010851284
FS,1,1,B5,77.7377299964428,34.838846929690234
FS,1,1,B4,77.77301105670631,14.130026216602646
FS,1,1,B3,77.81483104918152,20.413314773129894
FS,1,1,B1,77.91442004963756,75.41502344618613
FS,1,1,B4,86.09047601930797,16.585698390017967
FS,1,1,B4,86.12801507115364,14.925622259319145
FS,1,1,B1,94.86057003960013,86.82942900306465
FS,1,1,B2,94.89156305789948,90.03027122830726
FS,1,1,B3,94.92581500671804,32.948606374752664
FS,1,1,B4,94.96366803068668,8.02865305327791
FS,1,1,B4,95.00250907149166,9.199152140577088
FS,1,1,B4,95.02547001466155,10.809406338355396
FS,1,1,B2,95.1302140019834,35.42408824224011
FS,1,1,B3,95.16449004877359,31.517988224426258
FS,1,1,B2,102.39419806748629,50.92347308037443
FS,1,1,B3,102.43178904056549,21.58071853445192
FS,1,1,B3,102.46965603437275,39.71550762883742
FS,1,1,B4,102.49236202798784,10.684846165948855
FS,1,1,B5,102.58893005084246,40.08882775186767
FS,1,1,B1,113.66012901999056,26.094567168136454
FS,1,1,B4,113.69634605944157,14.051127544956877
FS,1,1,B4,113.77393000293523,19.810276618229885
FS,1,1,B5,113.81985899060965,43.478280435773144
FS,1,1,B3,113.84246207308024,28.469178493916843
FS,1,1,B2,113.87322808150202,48.885751991829764
FS,1,1,B3,113.90668107196689,11.072646397434822
FS,1,1,B4,113.9535839902237,10.48800804344959
FS,1,1,B5,113.97712107282132,34.676527032592176
FS,1,1,B4,114.08542701974511,8.862938428483146
FS,1,1,B1,114.1160880215466,109.93366846310329
FS,1,1,B3,122.92438407894224,22.360828735737503
FS,1,1,B4,122.95203108806163,22.329454543105886
FS,1,1,B2,122.97913408838212,79.53890095694962
FS,1,1,B5,123.02149808965623,67.49923839111338
FS,1,1,B4,134.95133898686618,19.62343575090092
FS,1,1,B2,134.99150797724724,28.276355983453847
FS,1,1,B2,135.0151770748198,24.206782401302544
FS,1,1,B3,135.05481102038175,25.910502670282522
FS,1,1,B5,135.08398307021707,89.91641376855914
FS,1,1,B5,135.12378209270537,30.488781683618086
FS,1,1,B4,135.14654198661447,14.46921871529522
FS,1,1,B2,142.11451704613864,25.454306035302583
FS,1,1,B4,142.19636202324182,13.980309257170923
FS,1,1,B4,142.21963298041373,21.548051247397414
FS,1,1,B4,142.25588901899755,24.301118796012076
FS,1,1,B5,150.8443970233202,32.57041402602453
FS,1,1,B3,150.87038709316403,30.628006640656018
FS,1,1,B4,150.90511308517307,12.324802426633633
FS,1,1,B1,150.9401270886883,49.61151465718593
FS,1,1,B5,150.96496604382992,31.84090690629037
FS,1,1,B3,151.40443900600076,26.427631256128432
FS,1,1,B2,157.634490984492,32.59609634680981
FS,1,1,B4,157.6621540589258,13.159177770391183
FS,1,1,B4,157.69662300590426,16.119702980618175
FS,1,1,B4,157.7337080379948,10.13549553099488
FS,1,1,B3,157.75674802716821,19.79431249199826
FS,1,1,B1,157.8548630932346,76.80503292320492
FS,1,1,B2,158.3414130145684,62.62394779025419
FS,1,1,B5,163.85805408935994,20.389460293828904
FS,1,1,B5,163.96184207405895,34.180561564453235
FS,1,1,B3,163.9893800020218,63.060209141307695
FS,1,1,B3,164.02495303191245,44.69783896817377
FS,1,1,B4,172.5052649853751,21.169790198960936
FS,1,1,B2,172.54788998980075,24.103886152791436
FS,1,1,B4,172.57201101165265,8.099832409245613
FS,1,1,B4,172.60925308801234,13.449523322592984
FS,1,1,B4,172.62977408245206,14.112060658298601
FS,1,1,B3,172.66893608029932,15.479923807194808
FS,1,1,B3,173.19097998552024,14.878947742754937
FS,1,1,B5,185.75566599611193,46.65125210928865
FS,1,1,B4,185.7905980432406,11.606633342864615
FS,1,1,B4,185.82549109123647,23.784529876058617
FS,1,1,B3,185.8643339946866,17.018871602616443
FS,1,1,B2,185.90056407265365,41.099026065544514
FS,1,1,B4,185.92397100292146,12.381159710017318
FS,1,1,B4,185.9571459935978,7.846002585774769
FS,1,1,B4,186.05600309092551,8.598774746266109
FS,1,1,B3,186.1523489933461,32.963160545981
FS,1,1,B4,198.81824008189142,6.244738492726315
FS,1,1,B4,198.85409902781248,6.94161926648587
FS,1,1,B5,198.88943398837,43.274863475306184
FS,1,1,B1,198.91148305032402,81.53862508852637
FS,1,1,B4,198.95011303015053,8.597370622229377
FS,1,1,B2,198.97390808910131,16.921338584441838
FS,1,1,B3,199.00140608660877,25.616528534819995
FS,1,1,B5,199.04317008331418,38.00507092367112
FS,1,1,B4,199.0754749858752,6.890970859876051
FS,1,1,B5,199.17150703258812,24.594783056035666
FS,1,1,B3,199.71193908713758,35.15227475346637
FS,1,1,B4,212.90616400074214,6.910545553788268
FS,1,1,B4,212.94813603162766,8.13560976810314
FS,1,1,B5,212.9719330696389,41.99185853016545
FS,1,1,B1,213.0040890770033,92.78569117726354
FS,1,1,B4,213.05634605232626,11.61981702733992
FS,1,1,B4,213.09406298678368,22.463393470139366
FS,1,1,B2,213.14341702964157,69.47718648698368
FS,1,1,B4,213.7294450076297,14.120455301262755
FS,1,1,B1,224.8622280312702,64.73870003267251
FS,1,1,B3,224.90032599307597,28.660049899851153
FS,1,1,B2,224.92466098628938,64.45723445229447
FS,1,1,B4,235.22876505739987,12.68737698023408
FS,1,1,B3,235.25381204672158,53.38152409702211
FS,1,1,B4,235.31074007041752,15.891403094278733
FS,1,1,B4,235.4066719999537,17.453293244664852
FS,1,1,B2,235.43923906981945,31.863768551218772
FS,1,1,B4,235.46283598989248,14.520256140185856
FS,1,1,B4,235.4855639860034,21.503126095371638
FS,1,1,B5,246.2512879865244,49.81403412745709
FS,1,1,B4,246.27874698489904,5.411905536328243
FS,1,1,B5,246.29793805070221,37.26672376407232
FS,1,1,B4,246.48342502769083,10.614649123271017
FS,1,1,B4,252.31119303498417,10.95707794019778
FS,1,1,B3,252.3463370744139,60.707160422183854
FS,1,1,B4,252.36992305144668,13.333834717453351
FS,1,1,B3,252.40912206936628,45.49766974393375
FS,1,1,B1,260.6458270456642,199.97229584245036
FS,1,1,B5,260.685415007174,40.94228050401173
FS,1,1,B4,260.71188307832927,18.10112669889794
FS,1,1,B5,260.7348470482975,53.29102538803
FS,1,1,B3,260.7734550256282,23.727592650154627
FS,1,1,B4,260.8621739782393,13.492924288066662
FS,1,1,B2,269.1084360703826,45.865061387824205
FS,1,1,B3,269.1456190077588,37.11786091236326
FS,1,1,B4,269.1801720065996,14.285232878308678
FS,1,1,B3,269.2168920766562,66.81484720900718
FS,1,1,B4,269.25445604138076,15.442173464041286
FS,1,1,B4,269.34313704259694,19.15680997075605
FS,1,1,B2,269.3780680419877,107.54562798810224
FS,1,1,B4,279.02284904848784,11.607681316373919
FS,1,1,B4,279.0949629852548,10.661737908578457
FS,1,1,B2,279.13216303568333,83.18130714547357
FS,1,1,B2,279.2362250620499,50.16085010318908
FS,1,1,B3,279.2686669854447,23.233587821758032
FS,1,1,B5,279.29143398068845,77.55201537915285
FS,1,1,B4,279.3290780391544,8.507203346134553
FS,1,1,B2,286.62605700083077,44.42673885258556
FS,1,1,B4,286.66145307943225,12.014448027270388
FS,1,1,B1,286.70090704690665,124.84070974245162
FS,1,1,B4,286.7252620635554,10.23084901345158
FS,1,1,B1,286.83066205121577,72.64078301856249
FS,1,1,B3,286.88720508944243,34.062816722224625
FS,1,1,B3,296.5177100850269,18.861849770541642
FS,1,1,B5,296.55810503754765,44.80945671345702
FS,1,1,B3,296.59594607073814,31.03191136743934
FS,1,1,B3,296.62068700417876,22.797089723902513
FS,1,1,B4,296.65615397971123,8.293098257641043
